"•ÈÀ""Plot Title: FF2-70""",,,,
#,"Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph","Wind Direction, Ìü"
1,1/29/13 23:06,62.52,142.52,157.2
2,1/29/13 23:06,16.33,16.33,167.1
3,1/29/13 23:06,12.39,12.39,164.3
4,1/29/13 23:06,10.69,10.69,186.7
5,1/29/13 23:07,12.39,12.39,167.1
6,1/29/13 23:07,14.65,14.65,169.9
7,1/29/13 23:07,14.09,14.09,165.7
8,1/29/13 23:07,14.09,14.09,171.3
9,1/29/13 23:07,10.69,10.69,161.5
10,1/29/13 23:07,12.39,12.39,172.7
11,1/29/13 23:07,12.95,12.95,172.7
12,1/29/13 23:07,10.13,10.13,185.3
13,1/29/13 23:07,9.01,9.01,176.9
14,1/29/13 23:07,10.13,10.13,186.7
15,1/29/13 23:07,10.13,10.13,167.1
16,1/29/13 23:07,15.77,15.77,174.1
17,1/29/13 23:07,18.03,18.03,172.7
18,1/29/13 23:07,16.89,16.89,171.3
19,1/29/13 23:07,13.51,13.51,161.5
20,1/29/13 23:07,10.69,10.69,172.7
21,1/29/13 23:07,9.57,9.57,203.6
22,1/29/13 23:07,11.83,11.83,196.5
23,1/29/13 23:07,12.95,12.95,192.3
24,1/29/13 23:07,11.83,11.83,193.7
25,1/29/13 23:08,11.83,11.83,162.9
26,1/29/13 23:08,12.95,12.95,172.7
27,1/29/13 23:08,13.51,13.51,169.9
28,1/29/13 23:08,12.95,12.95,176.9
29,1/29/13 23:08,11.83,11.83,186.7
30,1/29/13 23:08,10.69,10.69,181.1
31,1/29/13 23:08,9.01,9.01,172.7
32,1/29/13 23:08,11.83,11.83,185.3
33,1/29/13 23:08,12.95,12.95,178.3
34,1/29/13 23:08,12.39,12.39,172.7
35,1/29/13 23:08,11.83,11.83,172.7
36,1/29/13 23:08,11.83,11.83,186.7
37,1/29/13 23:08,11.27,11.27,186.7
38,1/29/13 23:08,10.69,10.69,186.7
39,1/29/13 23:08,9.01,9.01,193.7
40,1/29/13 23:08,8.46,8.46,182.5
41,1/29/13 23:08,7.9,7.9,157.2
42,1/29/13 23:08,7.9,7.9,172.7
43,1/29/13 23:08,11.27,11.27,182.5
44,1/29/13 23:08,10.13,10.13,153
45,1/29/13 23:09,9.57,9.57,178.3
46,1/29/13 23:09,12.39,12.39,189.5
47,1/29/13 23:09,11.27,11.27,182.5
48,1/29/13 23:09,10.13,10.13,179.7
49,1/29/13 23:09,10.13,10.13,188.1
50,1/29/13 23:09,10.69,10.69,185.3
51,1/29/13 23:09,9.57,9.57,185.3
52,1/29/13 23:09,9.57,9.57,178.3
53,1/29/13 23:09,8.46,8.46,178.3
54,1/29/13 23:09,7.31,7.31,179.7
55,1/29/13 23:09,6.2,6.2,188.1
56,1/29/13 23:09,8.46,8.46,189.5
57,1/29/13 23:09,9.01,9.01,192.3
58,1/29/13 23:09,7.9,7.9,193.7
59,1/29/13 23:09,9.01,9.01,182.5
60,1/29/13 23:09,9.57,9.57,193.7
61,1/29/13 23:09,7.9,7.9,181.1
62,1/29/13 23:09,9.57,9.57,186.7
63,1/29/13 23:09,11.27,11.27,182.5
64,1/29/13 23:09,11.83,11.83,169.9
65,1/29/13 23:10,11.83,11.83,174.1
66,1/29/13 23:10,12.39,12.39,181.1
67,1/29/13 23:10,14.65,14.65,182.5
68,1/29/13 23:10,12.39,12.39,189.5
69,1/29/13 23:10,12.39,12.39,181.1
70,1/29/13 23:10,11.27,11.27,198
71,1/29/13 23:10,10.13,10.13,181.1
72,1/29/13 23:10,10.69,10.69,182.5
73,1/29/13 23:10,8.46,8.46,169.9
74,1/29/13 23:10,6.2,6.2,162.9
75,1/29/13 23:10,6.2,6.2,182.5
76,1/29/13 23:10,6.76,6.76,144.6
77,1/29/13 23:10,9.57,9.57,147.4
78,1/29/13 23:10,9.01,9.01,171.3
79,1/29/13 23:10,13.51,13.51,196.5
80,1/29/13 23:10,14.09,14.09,176.9
81,1/29/13 23:10,12.95,12.95,181.1
82,1/29/13 23:10,14.65,14.65,188.1
83,1/29/13 23:10,11.83,11.83,182.5
84,1/29/13 23:10,11.83,11.83,193.7
85,1/29/13 23:11,12.39,12.39,202.2
86,1/29/13 23:11,12.39,12.39,202.2
87,1/29/13 23:11,14.65,14.65,198
88,1/29/13 23:11,15.77,15.77,179.7
89,1/29/13 23:11,15.21,15.21,193.7
90,1/29/13 23:11,14.65,14.65,192.3
91,1/29/13 23:11,16.33,16.33,193.7
92,1/29/13 23:11,15.21,15.21,185.3
93,1/29/13 23:11,14.09,14.09,185.3
94,1/29/13 23:11,15.77,15.77,196.5
95,1/29/13 23:11,14.65,14.65,198
96,1/29/13 23:11,11.27,11.27,202.2
97,1/29/13 23:11,11.27,11.27,193.7
98,1/29/13 23:11,11.83,11.83,189.5
99,1/29/13 23:11,11.83,11.83,193.7
100,1/29/13 23:11,11.27,11.27,186.7
101,1/29/13 23:11,9.01,9.01,172.7
102,1/29/13 23:11,7.31,7.31,186.7
103,1/29/13 23:11,6.76,6.76,158.6
104,1/29/13 23:11,5.64,5.64,165.7
105,1/29/13 23:12,6.76,6.76,178.3
106,1/29/13 23:12,7.9,7.9,167.1
107,1/29/13 23:12,7.9,7.9,174.1
108,1/29/13 23:12,7.31,7.31,158.6
109,1/29/13 23:12,5.64,5.64,140.4
110,1/29/13 23:12,6.2,6.2,181.1
111,1/29/13 23:12,6.76,6.76,182.5
112,1/29/13 23:12,10.13,10.13,172.7
113,1/29/13 23:12,13.51,13.51,174.1
114,1/29/13 23:12,12.95,12.95,182.5
115,1/29/13 23:12,11.27,11.27,185.3
116,1/29/13 23:12,14.65,14.65,186.7
117,1/29/13 23:12,14.09,14.09,172.7
118,1/29/13 23:12,12.95,12.95,164.3
119,1/29/13 23:12,15.21,15.21,174.1
120,1/29/13 23:12,15.77,15.77,186.7
121,1/29/13 23:12,14.65,14.65,176.9
122,1/29/13 23:12,15.77,15.77,169.9
123,1/29/13 23:12,14.09,14.09,161.5
124,1/29/13 23:12,16.89,16.89,172.7
125,1/29/13 23:13,16.33,16.33,178.3
126,1/29/13 23:13,15.77,15.77,181.1
127,1/29/13 23:13,14.65,14.65,178.3
128,1/29/13 23:13,13.51,13.51,171.3
129,1/29/13 23:13,14.65,14.65,158.6
130,1/29/13 23:13,12.95,12.95,165.7
131,1/29/13 23:13,10.69,10.69,171.3
132,1/29/13 23:13,11.27,11.27,161.5
133,1/29/13 23:13,8.46,8.46,157.2
134,1/29/13 23:13,9.57,9.57,171.3
135,1/29/13 23:13,9.01,9.01,165.7
136,1/29/13 23:13,10.13,10.13,171.3
137,1/29/13 23:13,9.57,9.57,171.3
138,1/29/13 23:13,9.01,9.01,171.3
139,1/29/13 23:13,11.83,11.83,157.2
140,1/29/13 23:13,10.13,10.13,169.9
141,1/29/13 23:13,10.13,10.13,178.3
142,1/29/13 23:13,12.95,12.95,167.1
