"Plot Title: ff2-80"
"#","Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph","Wind Direction, ø"
1,01/29/13 10:53:51 PM,142.52,23.67,46.3
2,01/29/13 10:53:54 PM,12.39,12.39,202.2
3,01/29/13 10:53:57 PM,8.46,8.46,212.0
4,01/29/13 10:54:00 PM,7.90,7.90,220.4
5,01/29/13 10:54:03 PM,9.01,9.01,217.6
6,01/29/13 10:54:06 PM,10.13,10.13,209.2
7,01/29/13 10:54:09 PM,9.57,9.57,217.6
8,01/29/13 10:54:12 PM,7.31,7.31,196.5
9,01/29/13 10:54:15 PM,9.57,9.57,188.1
10,01/29/13 10:54:18 PM,9.01,9.01,181.1
11,01/29/13 10:54:21 PM,10.13,10.13,198.0
12,01/29/13 10:54:24 PM,12.39,12.39,200.8
13,01/29/13 10:54:27 PM,11.83,11.83,196.5
14,01/29/13 10:54:30 PM,10.69,10.69,193.7
15,01/29/13 10:54:33 PM,9.01,9.01,167.1
16,01/29/13 10:54:36 PM,9.57,9.57,203.6
17,01/29/13 10:54:39 PM,9.57,9.57,195.1
18,01/29/13 10:54:42 PM,7.90,7.90,193.7
19,01/29/13 10:54:45 PM,10.69,10.69,202.2
20,01/29/13 10:54:48 PM,10.69,10.69,219.0
21,01/29/13 10:54:51 PM,11.27,11.27,206.4
22,01/29/13 10:54:54 PM,10.69,10.69,226.0
23,01/29/13 10:54:57 PM,10.69,10.69,217.6
24,01/29/13 10:55:00 PM,10.69,10.69,203.6
25,01/29/13 10:55:03 PM,12.95,12.95,214.8
26,01/29/13 10:55:06 PM,12.39,12.39,212.0
27,01/29/13 10:55:09 PM,9.01,9.01,203.6
28,01/29/13 10:55:12 PM,9.01,9.01,206.4
29,01/29/13 10:55:15 PM,10.13,10.13,193.7
30,01/29/13 10:55:18 PM,7.90,7.90,216.2
31,01/29/13 10:55:21 PM,9.57,9.57,198.0
32,01/29/13 10:55:24 PM,8.46,8.46,200.8
33,01/29/13 10:55:27 PM,7.90,7.90,186.7
34,01/29/13 10:55:30 PM,7.31,7.31,188.1
35,01/29/13 10:55:33 PM,6.76,6.76,158.6
36,01/29/13 10:55:36 PM,6.76,6.76,134.8
37,01/29/13 10:55:39 PM,3.94,3.94,130.6
38,01/29/13 10:55:42 PM,2.26,2.26,226.0
39,01/29/13 10:55:45 PM,1.70,1.70,171.3
40,01/29/13 10:55:48 PM,2.82,2.82,165.7
41,01/29/13 10:55:51 PM,5.64,5.64,219.0
42,01/29/13 10:55:54 PM,9.57,9.57,165.7
43,01/29/13 10:55:57 PM,8.46,8.46,196.5
44,01/29/13 10:56:00 PM,10.13,10.13,196.5
45,01/29/13 10:56:03 PM,11.83,11.83,186.7
46,01/29/13 10:56:06 PM,12.39,12.39,186.7
47,01/29/13 10:56:09 PM,10.69,10.69,189.5
48,01/29/13 10:56:12 PM,9.01,9.01,182.5
49,01/29/13 10:56:15 PM,8.46,8.46,202.2
50,01/29/13 10:56:18 PM,7.90,7.90,206.4
51,01/29/13 10:56:21 PM,6.20,6.20,209.2
52,01/29/13 10:56:24 PM,7.90,7.90,193.7
53,01/29/13 10:56:27 PM,10.13,10.13,203.6
54,01/29/13 10:56:30 PM,12.95,12.95,165.7
55,01/29/13 10:56:33 PM,11.27,11.27,207.8
56,01/29/13 10:56:36 PM,9.57,9.57,196.5
57,01/29/13 10:56:39 PM,9.01,9.01,212.0
58,01/29/13 10:56:42 PM,11.27,11.27,203.6
59,01/29/13 10:56:45 PM,12.95,12.95,220.4
60,01/29/13 10:56:48 PM,9.57,9.57,207.8
61,01/29/13 10:56:51 PM,9.01,9.01,206.4
62,01/29/13 10:56:54 PM,14.65,14.65,193.7
63,01/29/13 10:56:57 PM,13.51,13.51,195.1
64,01/29/13 10:57:00 PM,12.39,12.39,174.1
65,01/29/13 10:57:03 PM,11.27,11.27,178.3
66,01/29/13 10:57:06 PM,11.27,11.27,182.5
67,01/29/13 10:57:09 PM,10.69,10.69,176.9
68,01/29/13 10:57:12 PM,10.13,10.13,182.5
69,01/29/13 10:57:15 PM,7.90,7.90,189.5
70,01/29/13 10:57:18 PM,9.57,9.57,193.7
71,01/29/13 10:57:21 PM,7.31,7.31,217.6
72,01/29/13 10:57:24 PM,6.20,6.20,181.1
73,01/29/13 10:57:27 PM,6.76,6.76,178.3
74,01/29/13 10:57:30 PM,7.90,7.90,167.1
75,01/29/13 10:57:33 PM,6.76,6.76,203.6
76,01/29/13 10:57:36 PM,6.76,6.76,206.4
77,01/29/13 10:57:39 PM,5.64,5.64,219.0
78,01/29/13 10:57:42 PM,6.20,6.20,182.5
79,01/29/13 10:57:45 PM,5.08,5.08,206.4
80,01/29/13 10:57:48 PM,7.31,7.31,214.8
81,01/29/13 10:57:51 PM,7.90,7.90,209.2
82,01/29/13 10:57:54 PM,6.76,6.76,202.2
83,01/29/13 10:57:57 PM,5.08,5.08,186.7
84,01/29/13 10:58:00 PM,5.08,5.08,193.7
85,01/29/13 10:58:03 PM,6.20,6.20,196.5
86,01/29/13 10:58:06 PM,8.46,8.46,202.2
87,01/29/13 10:58:09 PM,7.31,7.31,212.0
88,01/29/13 10:58:12 PM,7.31,7.31,185.3
89,01/29/13 10:58:15 PM,6.76,6.76,186.7
90,01/29/13 10:58:18 PM,5.08,5.08,172.7
91,01/29/13 10:58:21 PM,3.94,3.94,193.7
92,01/29/13 10:58:24 PM,5.64,5.64,206.4
93,01/29/13 10:58:27 PM,5.64,5.64,178.3
94,01/29/13 10:58:30 PM,6.20,6.20,171.3
95,01/29/13 10:58:33 PM,7.90,7.90,193.7
96,01/29/13 10:58:36 PM,7.31,7.31,185.3
97,01/29/13 10:58:39 PM,8.46,8.46,193.7
98,01/29/13 10:58:42 PM,11.27,11.27,165.7
99,01/29/13 10:58:45 PM,12.95,12.95,182.5
100,01/29/13 10:58:48 PM,12.95,12.95,176.9
101,01/29/13 10:58:51 PM,10.69,10.69,182.5
102,01/29/13 10:58:54 PM,10.69,10.69,188.1
103,01/29/13 10:58:57 PM,9.01,9.01,186.7
104,01/29/13 10:59:00 PM,7.31,7.31,186.7
105,01/29/13 10:59:03 PM,6.20,6.20,203.6
106,01/29/13 10:59:06 PM,6.76,6.76,178.3
107,01/29/13 10:59:09 PM,6.20,6.20,178.3
108,01/29/13 10:59:12 PM,7.31,7.31,179.7
109,01/29/13 10:59:15 PM,9.01,9.01,179.7
110,01/29/13 10:59:18 PM,8.46,8.46,181.1
111,01/29/13 10:59:21 PM,7.90,7.90,178.3
112,01/29/13 10:59:24 PM,9.57,9.57,189.5
113,01/29/13 10:59:27 PM,8.46,8.46,186.7
114,01/29/13 10:59:30 PM,7.31,7.31,195.1
115,01/29/13 10:59:33 PM,6.20,6.20,202.2
116,01/29/13 10:59:36 PM,5.08,5.08,216.2
117,01/29/13 10:59:39 PM,3.94,3.94,167.1
118,01/29/13 10:59:42 PM,4.50,4.50,207.8
119,01/29/13 10:59:45 PM,6.20,6.20,206.4
120,01/29/13 10:59:48 PM,4.50,4.50,172.7
121,01/29/13 10:59:51 PM,2.82,2.82,192.3
122,01/29/13 10:59:54 PM,4.50,4.50,214.8
123,01/29/13 10:59:57 PM,5.08,5.08,181.1
124,01/29/13 11:00:00 PM,5.08,5.08,174.1
125,01/29/13 11:00:03 PM,6.20,6.20,192.3
126,01/29/13 11:00:06 PM,7.90,7.90,193.7
127,01/29/13 11:00:09 PM,9.01,9.01,186.7
128,01/29/13 11:00:12 PM,8.46,8.46,182.5
129,01/29/13 11:00:15 PM,7.31,7.31,206.4
130,01/29/13 11:00:18 PM,6.20,6.20,185.3
131,01/29/13 11:00:21 PM,6.76,6.76,179.7
132,01/29/13 11:00:24 PM,6.20,6.20,178.3
133,01/29/13 11:00:27 PM,4.50,4.50,178.3
134,01/29/13 11:00:30 PM,3.94,3.94,193.7
135,01/29/13 11:00:33 PM,5.08,5.08,202.2
136,01/29/13 11:00:36 PM,4.50,4.50,185.3
137,01/29/13 11:00:39 PM,4.50,4.50,192.3
138,01/29/13 11:00:42 PM,6.76,6.76,176.9
139,01/29/13 11:00:45 PM,8.46,8.46,178.3
