,TIMESTAMP,Ux_20m,Uy_20m,Uz_20m,Ts_20m,Ux_10m,Uy_10m,Uz_10m,Ts_10m,Ux_6m,Uy_6m,Uz_6m,Ts_6m
80,2013-01-30 15:00:00,8.41,-11.15,-2.1,13.07,5.88,-5.73,1.35,12.91,4.83,-3.97,0.0,14.77
81,2013-01-30 15:00:00,8.43,-10.92,-1.97,13.12,5.55,-6.25,-0.05,13.0,4.48,-4.35,0.2,14.77
82,2013-01-30 15:00:00,8.43,-11.68,-2.45,13.21,6.51,-4.89,-0.42,12.98,4.28,-4.95,0.36,14.74
83,2013-01-30 15:00:00,8.84,-12.17,-1.84,13.49,7.82,-4.31,-0.45,12.94,4.6,-5.06,-0.23,14.8
84,2013-01-30 15:00:00,8.82,-11.95,-1.07,13.52,6.67,-3.75,-0.39,12.94,4.6,-5.07,-0.37,15.48
85,2013-01-30 15:00:00,7.7,-11.86,-0.78,13.4,6.33,-3.93,0.31,12.99,4.88,-5.43,-0.41,15.89
86,2013-01-30 15:00:00,6.81,-11.77,-1.48,13.29,5.96,-3.93,0.18,12.96,4.85,-4.89,-0.15,15.09
87,2013-01-30 15:00:00,7.27,-11.35,-0.73,13.38,5.52,-4.05,-0.35,12.87,5.37,-4.02,-0.47,14.94
88,2013-01-30 15:00:00,7.01,-11.31,-0.72,13.55,5.87,-4.97,-1.68,12.86,5.55,-4.74,-0.61,15.06
89,2013-01-30 15:00:00,7.07,-12.64,-1.63,13.74,6.94,-6.09,-2.54,12.91,4.79,-4.0,-1.1,15.34
90,2013-01-30 15:00:00,7.84,-12.49,-1.47,13.72,6.59,-5.22,-0.59,12.92,5.1,-4.08,-1.33,15.26
91,2013-01-30 15:00:00,8.69,-12.72,-1.47,13.62,5.19,-5.75,-0.87,12.94,4.31,-4.74,-0.39,15.42
92,2013-01-30 15:00:00,8.95,-12.72,-0.3,13.39,5.32,-5.0,-0.68,12.88,2.99,-4.6,0.5,15.94
93,2013-01-30 15:00:00,8.16,-12.19,-0.24,13.46,6.04,-5.7,-0.96,12.94,3.13,-2.98,0.62,16.26
94,2013-01-30 15:00:00,8.85,-12.05,0.9,13.45,6.1,-6.5,-1.01,13.03,3.39,-3.17,-0.14,15.58
95,2013-01-30 15:00:00,8.6,-12.74,1.16,13.53,6.11,-7.32,-0.76,13.03,3.08,-2.73,1.24,16.19
96,2013-01-30 15:00:00,8.93,-13.33,1.4,13.92,5.92,-6.17,1.93,13.07,2.82,-4.69,1.91,16.08
97,2013-01-30 15:00:00,8.67,-12.42,1.66,13.68,4.87,-5.9,2.1,13.38,3.57,-4.71,2.34,16.16
98,2013-01-30 15:00:00,8.19,-12.24,1.76,13.71,5.31,-8.01,1.57,13.2,3.84,-4.02,2.22,15.93
99,2013-01-30 15:00:00,8.91,-12.47,1.53,13.66,5.01,-7.57,1.95,13.13,4.38,-3.53,1.49,15.85
100,2013-01-30 15:00:00,9.15,-12.71,0.38,13.18,5.59,-6.84,1.52,13.03,4.59,-3.33,1.39,15.88
101,2013-01-30 15:00:00,8.36,-12.8,0.4,13.14,6.57,-6.37,0.8,12.94,3.94,-3.11,1.9,15.93
102,2013-01-30 15:00:00,8.6,-12.41,0.44,13.06,6.64,-7.14,1.4,13.11,3.14,-3.25,1.42,15.74
103,2013-01-30 15:00:00,7.54,-12.17,-0.04,13.17,7.49,-5.74,0.86,13.14,3.22,-2.85,2.23,15.77
104,2013-01-30 15:00:00,7.06,-12.12,-1.03,13.16,6.97,-6.52,0.79,13.15,3.06,-2.98,2.02,15.59
105,2013-01-30 15:00:00,6.97,-12.24,-0.8,13.16,6.17,-8.03,3.03,13.54,3.83,-4.44,1.7,16.25
106,2013-01-30 15:00:00,6.96,-12.01,-0.83,13.25,5.58,-9.29,1.64,13.56,3.58,-4.85,2.27,16.22
107,2013-01-30 15:00:00,6.79,-11.7,-0.52,13.24,6.92,-8.71,-0.72,13.46,3.25,-4.12,2.55,16.18
108,2013-01-30 15:00:00,6.86,-11.46,-0.37,13.27,6.6,-7.68,-0.55,13.54,2.99,-3.73,0.86,15.71
109,2013-01-30 15:00:00,6.89,-11.71,0.07,13.25,5.24,-8.17,0.89,13.71,3.74,-3.92,-0.79,15.83
110,2013-01-30 15:00:00,6.64,-11.49,-0.11,13.31,6.71,-7.82,-0.56,13.47,3.17,-4.88,0.13,15.94
111,2013-01-30 15:00:00,6.37,-11.15,-0.88,13.36,7.26,-8.13,-0.67,13.49,2.72,-6.99,-0.79,16.15
112,2013-01-30 15:00:00,6.43,-10.89,-0.99,13.34,7.01,-7.27,-0.72,13.32,3.36,-6.73,-0.3,16.21
113,2013-01-30 15:00:00,6.45,-10.9,-1.01,13.35,7.14,-7.01,-0.04,13.4,4.23,-6.39,-0.96,15.97
114,2013-01-30 15:00:00,6.52,-10.95,-0.46,13.3,6.33,-7.35,0.25,13.33,3.35,-5.54,-0.99,15.69
115,2013-01-30 15:00:00,6.94,-10.52,-0.58,13.33,5.88,-7.95,0.48,13.53,5.33,-7.42,-1.66,15.86
116,2013-01-30 15:00:00,7.58,-9.27,-0.5,13.23,5.24,-7.4,1.1,13.76,5.82,-8.64,-0.13,16.13
117,2013-01-30 15:00:00,8.18,-9.47,-0.47,13.2,5.14,-7.12,1.17,13.75,3.5,-7.99,1.15,16.06
118,2013-01-30 15:00:00,8.23,-9.75,0.49,13.26,5.35,-6.98,1.12,13.77,4.14,-7.3,1.28,16.46
119,2013-01-30 15:00:00,7.86,-9.95,-0.5,13.26,5.07,-6.72,1.22,13.71,5.03,-7.76,2.04,16.51
120,2013-01-30 15:00:00,7.67,-9.7,-0.77,13.15,5.95,-7.07,0.4,13.8,4.76,-7.28,1.6,15.49
121,2013-01-30 15:00:00,7.48,-9.3,-0.91,13.21,6.46,-7.58,0.26,13.59,5.45,-6.67,0.52,15.77
122,2013-01-30 15:00:00,7.77,-9.44,-0.87,13.24,6.7,-8.24,-0.05,13.02,6.98,-7.37,-0.79,15.95
123,2013-01-30 15:00:00,7.69,-10.05,-0.95,13.27,6.69,-9.18,-0.54,13.07,6.98,-7.13,-0.55,15.98
124,2013-01-30 15:00:00,7.99,-9.42,-0.27,13.3,6.47,-8.97,-0.55,13.08,5.95,-8.52,-0.99,15.32
125,2013-01-30 15:00:00,7.73,-8.79,0.27,13.32,6.08,-9.12,-0.89,13.07,6.06,-8.34,-0.74,15.23
126,2013-01-30 15:00:00,7.89,-8.7,0.19,13.34,5.53,-9.0,-1.71,13.02,6.16,-8.48,-1.71,15.08
127,2013-01-30 15:00:00,7.92,-9.45,0.25,13.37,6.42,-8.77,-1.73,12.99,6.28,-8.96,-0.74,14.97
128,2013-01-30 15:00:00,8.23,-9.47,0.47,13.36,6.99,-8.77,-1.69,13.02,5.91,-8.31,-0.17,15.11
129,2013-01-30 15:00:00,7.87,-10.18,0.33,13.43,7.38,-9.38,-1.84,13.07,6.25,-8.34,0.3,15.2
130,2013-01-30 15:00:00,7.55,-9.92,0.25,13.44,7.81,-9.33,-1.51,13.09,7.0,-7.27,-0.22,15.74
131,2013-01-30 15:00:00,7.56,-9.47,0.12,13.41,7.82,-10.08,-1.13,13.13,7.73,-7.49,-0.01,16.07
132,2013-01-30 15:00:00,7.43,-9.77,0.2,13.39,7.38,-9.19,-1.52,13.12,7.48,-7.78,-1.14,15.92
133,2013-01-30 15:00:00,7.09,-9.96,-0.31,13.37,7.3,-8.68,-1.69,13.11,7.66,-8.08,-1.79,15.12
134,2013-01-30 15:00:00,7.89,-9.67,-1.16,13.39,7.11,-9.24,-1.33,13.04,7.37,-8.21,-2.63,15.04
135,2013-01-30 15:00:00,8.14,-9.86,-1.11,13.36,6.26,-9.65,-0.38,13.03,7.08,-8.64,-2.08,15.01
136,2013-01-30 15:00:00,8.29,-9.83,-1.0,13.37,5.91,-9.2,-1.34,13.04,7.04,-9.72,-1.58,15.17
137,2013-01-30 15:00:00,8.11,-10.81,-1.13,13.37,6.34,-9.51,-2.08,13.05,7.05,-8.43,-1.33,15.12
138,2013-01-30 15:00:00,8.75,-11.64,-1.14,13.37,7.26,-9.88,-1.15,13.06,5.45,-7.89,-1.19,15.04
139,2013-01-30 15:00:00,8.34,-11.98,-1.71,13.22,8.11,-10.04,-1.06,13.17,6.03,-9.25,0.08,14.95
140,2013-01-30 15:00:00,8.47,-11.57,-2.51,13.12,7.4,-10.28,-1.07,13.15,6.28,-8.94,0.3,15.09
