TIMESTAMP,u,v,w,t
1/30/2013 15:00,4.28,-6.81,-0.54,15.27
1/30/2013 15:00,5.29,-11.15,-0.92,14.88
1/30/2013 15:00,4.65,-10.3,-0.91,14.6
1/30/2013 15:00,4.08,-10.58,-0.74,14.55
1/30/2013 15:00,4.81,-11.14,-0.98,14.69
1/30/2013 15:00,3.25,-9.75,-0.23,14.84
1/30/2013 15:00,2.07,-9.39,-0.49,15
1/30/2013 15:00,2.7,-9.98,-0.08,15.12
1/30/2013 15:00,2.77,-10.53,-0.95,14.91
1/30/2013 15:00,3.8,-10.76,0.69,15.35
1/30/2013 15:01,5,-10.05,-0.89,14.82
1/30/2013 15:01,4.54,-11.27,-1.29,14.64
1/30/2013 15:01,3.32,-11.85,-1.23,14.85
1/30/2013 15:01,3.57,-10.4,-1.08,15.1
1/30/2013 15:01,3.39,-10.51,-0.86,14.95
1/30/2013 15:01,4.61,-9.58,-1.12,14.83
1/30/2013 15:01,3.82,-9.96,-1.29,15.04
1/30/2013 15:01,2.74,-9.68,-0.72,14.94
1/30/2013 15:01,2.74,-8.77,-0.11,15.02
1/30/2013 15:01,3.35,-8.77,-0.79,14.96
1/30/2013 15:01,3.79,-8.69,-0.52,15.04
1/30/2013 15:01,3.13,-8.83,-0.31,15.04
1/30/2013 15:01,2.25,-8.5,-0.45,15.45
1/30/2013 15:01,1.49,-7.2,-1.35,15.53
1/30/2013 15:01,3.63,-7.07,-0.13,14.88
1/30/2013 15:01,1.43,-8.38,-1.73,14.91
1/30/2013 15:01,1.28,-7.53,-1.36,14.98
1/30/2013 15:01,0.73,-5.28,0.85,15.67
1/30/2013 15:01,3.62,-6.07,0.34,15.69
1/30/2013 15:01,4.96,-8.71,0,15.21
1/30/2013 15:01,5.63,-10.76,-1.57,15.19
1/30/2013 15:01,3.93,-8.92,-0.55,15.39
1/30/2013 15:01,4.37,-9.4,-0.47,15.49
1/30/2013 15:01,3.58,-10.48,-0.87,15.28
1/30/2013 15:01,4.14,-9.44,-0.9,15.15
1/30/2013 15:01,4.57,-9.62,-1.05,15.28
1/30/2013 15:01,3.13,-9.06,-0.28,15.42
1/30/2013 15:01,3.97,-8.93,-1.06,15.23
1/30/2013 15:01,3.59,-9.21,-0.57,15.32
1/30/2013 15:01,3.66,-8.89,-0.02,15.69
1/30/2013 15:01,4.13,-7.74,0.02,15.63
1/30/2013 15:01,3.96,-10.05,0.06,15.42
1/30/2013 15:01,5.96,-12.23,-0.31,15.11
1/30/2013 15:01,5.91,-11.18,-1.32,14.85
1/30/2013 15:01,5.47,-10.77,-1.34,14.84
1/30/2013 15:01,4.85,-9.01,-0.31,14.88
1/30/2013 15:01,5.12,-9.08,-0.83,15.15
1/30/2013 15:01,6.52,-7.6,-0.36,15.35
1/30/2013 15:01,6.8,-6.3,0.3,14.81
1/30/2013 15:01,6.28,-5.78,0.11,14.42
1/30/2013 15:01,5.03,-6.58,-0.13,14.85
1/30/2013 15:01,3.66,-7.38,-0.58,15.27
1/30/2013 15:01,3.06,-9.3,-1.29,15.36
1/30/2013 15:01,1.2,-9.41,-1.1,15.33
1/30/2013 15:01,2.07,-8.28,0.27,15.45
1/30/2013 15:01,2.13,-9.97,-1.28,15.48
1/30/2013 15:01,3.01,-8.19,-1.18,15.06
1/30/2013 15:01,4.29,-9.14,-0.41,14.93
1/30/2013 15:01,5.15,-6.89,-1.23,14.79
1/30/2013 15:01,5.56,-5.5,-0.12,15.37
1/30/2013 15:01,4.38,-6.49,-0.02,15.25
1/30/2013 15:01,4.03,-8.47,0.21,14.94
1/30/2013 15:01,4.03,-9.54,-1.15,15.02
1/30/2013 15:01,4.63,-9.03,-1.25,15.05
1/30/2013 15:01,3.5,-9.07,-0.91,15.08
1/30/2013 15:01,3.39,-9.82,-0.39,15.21
1/30/2013 15:01,4.27,-8.91,-0.07,15.29
1/30/2013 15:01,3.98,-8.47,-1.38,15.2
1/30/2013 15:01,3.66,-7.55,-1.92,14.98
1/30/2013 15:01,3.56,-7.14,-1.45,15.13
1/30/2013 15:02,3.54,-7.7,-0.73,15.33
1/30/2013 15:02,4.13,-8.19,-0.57,15.25
1/30/2013 15:02,1.99,-9.18,-2.15,15.31
