"Plot Title: FF2-69"
"#","Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph","Wind Direction, ø"
1,01/29/13 11:11:12 PM,142.52,33.80,186.7
2,01/29/13 11:11:15 PM,6.76,6.76,153.0
3,01/29/13 11:11:18 PM,5.08,5.08,169.9
4,01/29/13 11:11:21 PM,6.76,6.76,176.9
5,01/29/13 11:11:24 PM,6.76,6.76,172.7
6,01/29/13 11:11:27 PM,8.46,8.46,172.7
7,01/29/13 11:11:30 PM,9.57,9.57,161.5
8,01/29/13 11:11:33 PM,8.46,8.46,144.6
9,01/29/13 11:11:36 PM,7.31,7.31,167.1
10,01/29/13 11:11:39 PM,5.64,5.64,164.3
11,01/29/13 11:11:42 PM,4.50,4.50,144.6
12,01/29/13 11:11:45 PM,6.20,6.20,176.9
13,01/29/13 11:11:48 PM,7.90,7.90,165.7
14,01/29/13 11:11:51 PM,7.31,7.31,172.7
15,01/29/13 11:11:54 PM,8.46,8.46,158.6
16,01/29/13 11:11:57 PM,12.39,12.39,153.0
17,01/29/13 11:12:00 PM,10.69,10.69,157.2
18,01/29/13 11:12:03 PM,10.13,10.13,165.7
19,01/29/13 11:12:06 PM,9.01,9.01,150.2
20,01/29/13 11:12:09 PM,10.13,10.13,169.9
21,01/29/13 11:12:12 PM,9.01,9.01,174.1
22,01/29/13 11:12:15 PM,10.69,10.69,165.7
23,01/29/13 11:12:18 PM,9.57,9.57,165.7
24,01/29/13 11:12:21 PM,7.90,7.90,174.1
25,01/29/13 11:12:24 PM,6.20,6.20,171.3
26,01/29/13 11:12:27 PM,6.20,6.20,188.1
27,01/29/13 11:12:30 PM,6.20,6.20,196.5
28,01/29/13 11:12:33 PM,5.08,5.08,193.7
29,01/29/13 11:12:36 PM,4.50,4.50,136.2
30,01/29/13 11:12:39 PM,5.64,5.64,181.1
31,01/29/13 11:12:42 PM,3.38,3.38,155.8
32,01/29/13 11:12:45 PM,6.76,6.76,171.3
33,01/29/13 11:12:48 PM,6.76,6.76,172.7
34,01/29/13 11:12:51 PM,7.90,7.90,172.7
35,01/29/13 11:12:54 PM,7.90,7.90,172.7
36,01/29/13 11:12:57 PM,6.76,6.76,178.3
37,01/29/13 11:13:00 PM,5.64,5.64,206.4
38,01/29/13 11:13:03 PM,3.38,3.38,193.7
39,01/29/13 11:13:06 PM,5.64,5.64,178.3
40,01/29/13 11:13:09 PM,7.90,7.90,153.0
41,01/29/13 11:13:12 PM,6.76,6.76,167.1
42,01/29/13 11:13:15 PM,6.20,6.20,153.0
43,01/29/13 11:13:18 PM,3.38,3.38,182.5
44,01/29/13 11:13:21 PM,6.20,6.20,176.9
45,01/29/13 11:13:24 PM,5.08,5.08,176.9
46,01/29/13 11:13:27 PM,3.94,3.94,172.7
47,01/29/13 11:13:30 PM,5.64,5.64,157.2
48,01/29/13 11:13:33 PM,8.46,8.46,147.4
49,01/29/13 11:13:36 PM,8.46,8.46,157.2
50,01/29/13 11:13:39 PM,9.57,9.57,165.7
51,01/29/13 11:13:42 PM,9.01,9.01,169.9
52,01/29/13 11:13:45 PM,9.57,9.57,157.2
53,01/29/13 11:13:48 PM,9.57,9.57,157.2
54,01/29/13 11:13:51 PM,10.13,10.13,165.7
55,01/29/13 11:13:54 PM,8.46,8.46,193.7
56,01/29/13 11:13:57 PM,11.27,11.27,157.2
57,01/29/13 11:14:00 PM,9.01,9.01,171.3
58,01/29/13 11:14:03 PM,11.27,11.27,147.4
59,01/29/13 11:14:06 PM,11.27,11.27,186.7
60,01/29/13 11:14:09 PM,10.13,10.13,167.1
61,01/29/13 11:14:12 PM,8.46,8.46,169.9
62,01/29/13 11:14:15 PM,8.46,8.46,167.1
63,01/29/13 11:14:18 PM,8.46,8.46,171.3
64,01/29/13 11:14:21 PM,8.46,8.46,178.3
65,01/29/13 11:14:24 PM,7.31,7.31,165.7
66,01/29/13 11:14:27 PM,8.46,8.46,172.7
67,01/29/13 11:14:30 PM,9.57,9.57,172.7
