"¥éË""Plot Title: ff2-74""",,,,
#,"Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph","Wind Direction, íŸ"
1,1/29/13 22:56,142.52,23.09,329.9
2,1/29/13 22:56,5.64,5.64,193.7
3,1/29/13 22:56,6.76,6.76,196.5
4,1/29/13 22:56,8.46,8.46,202.2
5,1/29/13 22:56,7.9,7.9,195.1
6,1/29/13 22:56,10.13,10.13,231.6
7,1/29/13 22:56,14.09,14.09,219
8,1/29/13 22:56,12.39,12.39,216.2
9,1/29/13 22:56,10.69,10.69,203.6
10,1/29/13 22:56,10.13,10.13,200.8
11,1/29/13 22:56,10.13,10.13,207.8
12,1/29/13 22:56,11.83,11.83,228.8
13,1/29/13 22:56,10.69,10.69,196.5
14,1/29/13 22:56,12.39,12.39,206.4
15,1/29/13 22:56,12.95,12.95,176.9
16,1/29/13 22:56,9.57,9.57,188.1
17,1/29/13 22:56,10.13,10.13,182.5
18,1/29/13 22:56,10.69,10.69,143.2
19,1/29/13 22:57,7.9,7.9,140.4
20,1/29/13 22:57,8.46,8.46,167.1
21,1/29/13 22:57,10.13,10.13,164.3
22,1/29/13 22:57,9.01,9.01,178.3
23,1/29/13 22:57,7.31,7.31,186.7
24,1/29/13 22:57,6.2,6.2,181.1
25,1/29/13 22:57,5.64,5.64,202.2
26,1/29/13 22:57,6.76,6.76,176.9
27,1/29/13 22:57,5.64,5.64,186.7
28,1/29/13 22:57,5.64,5.64,186.7
29,1/29/13 22:57,5.08,5.08,189.5
30,1/29/13 22:57,5.08,5.08,193.7
31,1/29/13 22:57,5.08,5.08,193.7
32,1/29/13 22:57,4.5,4.5,176.9
33,1/29/13 22:57,5.64,5.64,179.7
34,1/29/13 22:57,5.64,5.64,178.3
35,1/29/13 22:57,4.5,4.5,176.9
36,1/29/13 22:57,5.64,5.64,193.7
37,1/29/13 22:57,6.76,6.76,176.9
38,1/29/13 22:57,6.76,6.76,172.7
39,1/29/13 22:58,6.76,6.76,178.3
40,1/29/13 22:58,5.64,5.64,179.7
41,1/29/13 22:58,4.5,4.5,192.3
42,1/29/13 22:58,3.94,3.94,174.1
43,1/29/13 22:58,6.2,6.2,192.3
44,1/29/13 22:58,10.13,10.13,196.5
45,1/29/13 22:58,10.13,10.13,198
46,1/29/13 22:58,12.39,12.39,189.5
47,1/29/13 22:58,11.83,11.83,189.5
48,1/29/13 22:58,10.13,10.13,134.8
49,1/29/13 22:58,7.9,7.9,181.1
50,1/29/13 22:58,6.76,6.76,179.7
51,1/29/13 22:58,7.9,7.9,181.1
52,1/29/13 22:58,9.01,9.01,186.7
53,1/29/13 22:58,9.01,9.01,182.5
54,1/29/13 22:58,9.57,9.57,189.5
55,1/29/13 22:58,9.57,9.57,174.1
56,1/29/13 22:58,9.01,9.01,172.7
57,1/29/13 22:58,7.9,7.9,182.5
58,1/29/13 22:58,7.31,7.31,185.3
59,1/29/13 22:59,6.2,6.2,182.5
60,1/29/13 22:59,6.2,6.2,196.5
61,1/29/13 22:59,6.2,6.2,193.7
62,1/29/13 22:59,5.08,5.08,228.8
63,1/29/13 22:59,3.94,3.94,202.2
64,1/29/13 22:59,3.38,3.38,202.2
65,1/29/13 22:59,2.82,2.82,157.2
66,1/29/13 22:59,2.82,2.82,157.2
67,1/29/13 22:59,2.26,2.26,182.5
68,1/29/13 22:59,3.38,3.38,198
69,1/29/13 22:59,2.26,2.26,217.6
70,1/29/13 22:59,0.56,0.56,217.6
71,1/29/13 22:59,1.12,1.12,189.5
72,1/29/13 22:59,2.82,2.82,192.3
73,1/29/13 22:59,3.38,3.38,206.4
74,1/29/13 22:59,3.94,3.94,203.6
75,1/29/13 22:59,2.82,2.82,179.7
76,1/29/13 22:59,3.94,3.94,181.1
77,1/29/13 22:59,3.94,3.94,188.1
78,1/29/13 22:59,3.38,3.38,195.1
79,1/29/13 23:00,2.82,2.82,182.5
80,1/29/13 23:00,3.94,3.94,179.7
81,1/29/13 23:00,7.31,7.31,176.9
82,1/29/13 23:00,6.2,6.2,181.1
83,1/29/13 23:00,8.46,8.46,192.3
84,1/29/13 23:00,10.13,10.13,189.5
85,1/29/13 23:00,9.01,9.01,185.3
86,1/29/13 23:00,7.31,7.31,185.3
87,1/29/13 23:00,6.76,6.76,186.7
88,1/29/13 23:00,5.64,5.64,182.5
89,1/29/13 23:00,5.64,5.64,185.3
90,1/29/13 23:00,7.31,7.31,198
91,1/29/13 23:00,7.31,7.31,189.5
92,1/29/13 23:00,6.76,6.76,198
93,1/29/13 23:00,7.9,7.9,186.7
94,1/29/13 23:00,7.31,7.31,179.7
95,1/29/13 23:00,5.64,5.64,202.2
96,1/29/13 23:00,6.2,6.2,202.2
97,1/29/13 23:00,7.9,7.9,172.7
98,1/29/13 23:00,7.31,7.31,174.1
99,1/29/13 23:01,5.08,5.08,150.2
100,1/29/13 23:01,6.2,6.2,179.7
101,1/29/13 23:01,8.46,8.46,193.7
102,1/29/13 23:01,9.01,9.01,206.4
103,1/29/13 23:01,7.9,7.9,202.2
104,1/29/13 23:01,7.31,7.31,181.1
105,1/29/13 23:01,9.01,9.01,212
106,1/29/13 23:01,6.2,6.2,185.3
107,1/29/13 23:01,8.46,8.46,196.5
108,1/29/13 23:01,9.57,9.57,181.1
109,1/29/13 23:01,11.27,11.27,186.7
110,1/29/13 23:01,11.27,11.27,193.7
111,1/29/13 23:01,16.33,16.33,189.5
112,1/29/13 23:01,15.77,15.77,176.9
113,1/29/13 23:01,13.51,13.51,174.1
114,1/29/13 23:01,12.95,12.95,167.1
115,1/29/13 23:01,11.83,11.83,164.3
116,1/29/13 23:01,7.9,7.9,150.2
117,1/29/13 23:01,8.46,8.46,171.3
118,1/29/13 23:01,6.76,6.76,151.6
119,1/29/13 23:02,8.46,8.46,171.3
120,1/29/13 23:02,13.51,13.51,171.3
121,1/29/13 23:02,11.27,11.27,174.1
122,1/29/13 23:02,12.39,12.39,196.5
123,1/29/13 23:02,11.83,11.83,186.7
124,1/29/13 23:02,11.27,11.27,203.6
125,1/29/13 23:02,11.83,11.83,202.2
126,1/29/13 23:02,9.01,9.01,198
127,1/29/13 23:02,12.39,12.39,200.8
128,1/29/13 23:02,11.27,11.27,206.4
129,1/29/13 23:02,11.27,11.27,181.1
130,1/29/13 23:02,12.39,12.39,193.7
131,1/29/13 23:02,10.13,10.13,226
132,1/29/13 23:02,11.83,11.83,188.1
133,1/29/13 23:02,13.51,13.51,193.7
134,1/29/13 23:02,14.09,14.09,196.5
135,1/29/13 23:02,10.69,10.69,202.2
136,1/29/13 23:02,10.69,10.69,202.2
137,1/29/13 23:02,9.57,9.57,172.7
138,1/29/13 23:02,7.9,7.9,171.3
139,1/29/13 23:03,12.95,12.95,165.7
140,1/29/13 23:03,6.76,6.76,139
141,1/29/13 23:03,10.69,10.69,165.7
142,1/29/13 23:03,11.27,11.27,162.9
143,1/29/13 23:03,7.9,7.9,172.7
144,1/29/13 23:03,7.31,7.31,162.9
145,1/29/13 23:03,12.95,12.95,174.1
146,1/29/13 23:03,11.27,11.27,186.7
147,1/29/13 23:03,10.13,10.13,174.1
148,1/29/13 23:03,9.57,9.57,195.1
149,1/29/13 23:03,7.31,7.31,179.7
150,1/29/13 23:03,8.46,8.46,234.5
151,1/29/13 23:03,6.76,6.76,147.4
152,1/29/13 23:03,10.13,10.13,185.3
153,1/29/13 23:03,10.69,10.69,172.7
154,1/29/13 23:03,10.13,10.13,188.1
155,1/29/13 23:03,10.69,10.69,186.7
156,1/29/13 23:03,12.95,12.95,172.7
157,1/29/13 23:03,10.13,10.13,153
158,1/29/13 23:03,10.13,10.13,147.4
159,1/29/13 23:04,7.31,7.31,161.5
160,1/29/13 23:04,9.57,9.57,207.8
161,1/29/13 23:04,9.01,9.01,202.2
162,1/29/13 23:04,7.31,7.31,193.7
163,1/29/13 23:04,5.64,5.64,157.2
