Plot Title: ff2_82				
#	"Date Time, GMT+00:00"	"Wind Speed, mph"	"Gust Speed, mph"	"Wind Direction, ?"
1	1/29/2013 22:39	142.52	24.79	136.2
2	1/29/2013 22:39	10.69	10.69	196.5
3	1/29/2013 22:39	11.27	11.27	174.1
4	1/29/2013 22:39	7.31	7.31	172.7
5	1/29/2013 22:39	10.13	10.13	202.2
6	1/29/2013 22:39	10.13	10.13	169.9
7	1/29/2013 22:39	5.64	5.64	169.9
8	1/29/2013 22:39	4.5	4.5	174.1
9	1/29/2013 22:39	7.9	7.9	196.5
10	1/29/2013 22:39	6.76	6.76	157.2
11	1/29/2013 22:39	9.01	9.01	185.3
12	1/29/2013 22:39	10.13	10.13	169.9
13	1/29/2013 22:39	9.57	9.57	171.3
14	1/29/2013 22:39	7.9	7.9	153
15	1/29/2013 22:39	9.01	9.01	155.8
16	1/29/2013 22:39	11.83	11.83	167.1
17	1/29/2013 22:39	12.39	12.39	153
18	1/29/2013 22:39	9.01	9.01	143.2
19	1/29/2013 22:39	8.46	8.46	157.2
20	1/29/2013 22:39	9.57	9.57	157.2
21	1/29/2013 22:40	7.9	7.9	164.3
22	1/29/2013 22:40	8.46	8.46	174.1
23	1/29/2013 22:40	9.01	9.01	169.9
24	1/29/2013 22:40	6.76	6.76	172.7
25	1/29/2013 22:40	8.46	8.46	171.3
26	1/29/2013 22:40	9.57	9.57	167.1
27	1/29/2013 22:40	11.27	11.27	150.2
28	1/29/2013 22:40	7.9	7.9	172.7
29	1/29/2013 22:40	7.31	7.31	161.5
30	1/29/2013 22:40	10.13	10.13	162.9
31	1/29/2013 22:40	10.13	10.13	172.7
32	1/29/2013 22:40	12.95	12.95	172.7
33	1/29/2013 22:40	12.95	12.95	157.2
34	1/29/2013 22:40	11.27	11.27	185.3
35	1/29/2013 22:40	12.39	12.39	165.7
36	1/29/2013 22:40	11.27	11.27	153
37	1/29/2013 22:40	7.31	7.31	147.4
38	1/29/2013 22:40	11.27	11.27	157.2
39	1/29/2013 22:40	9.01	9.01	157.2
40	1/29/2013 22:40	6.76	6.76	158.6
41	1/29/2013 22:41	9.57	9.57	153
42	1/29/2013 22:41	9.01	9.01	157.2
43	1/29/2013 22:41	8.46	8.46	176.9
44	1/29/2013 22:41	11.83	11.83	165.7
45	1/29/2013 22:41	12.95	12.95	169.9
46	1/29/2013 22:41	10.69	10.69	171.3
47	1/29/2013 22:41	10.13	10.13	178.3
48	1/29/2013 22:41	9.57	9.57	178.3
49	1/29/2013 22:41	10.13	10.13	195.1
50	1/29/2013 22:41	9.01	9.01	185.3
51	1/29/2013 22:41	9.01	9.01	155.8
52	1/29/2013 22:41	6.76	6.76	140.4
53	1/29/2013 22:41	6.76	6.76	169.9
54	1/29/2013 22:41	7.9	7.9	189.5
55	1/29/2013 22:41	6.2	6.2	193.7
56	1/29/2013 22:41	5.64	5.64	169.9
57	1/29/2013 22:41	6.76	6.76	178.3
58	1/29/2013 22:41	7.31	7.31	176.9
59	1/29/2013 22:41	7.31	7.31	174.1
60	1/29/2013 22:41	9.57	9.57	198
61	1/29/2013 22:42	7.9	7.9	185.3
62	1/29/2013 22:42	12.39	12.39	189.5
63	1/29/2013 22:42	7.9	7.9	172.7
64	1/29/2013 22:42	5.08	5.08	185.3
65	1/29/2013 22:42	5.64	5.64	193.7
66	1/29/2013 22:42	7.31	7.31	169.9
67	1/29/2013 22:42	10.13	10.13	167.1
68	1/29/2013 22:42	9.01	9.01	178.3
69	1/29/2013 22:42	9.01	9.01	144.6
70	1/29/2013 22:42	10.13	10.13	165.7
71	1/29/2013 22:42	12.39	12.39	176.9
72	1/29/2013 22:42	12.39	12.39	165.7
73	1/29/2013 22:42	12.39	12.39	169.9
74	1/29/2013 22:42	11.83	11.83	165.7
75	1/29/2013 22:42	13.51	13.51	162.9
76	1/29/2013 22:42	8.46	8.46	161.5
77	1/29/2013 22:42	9.57	9.57	164.3
78	1/29/2013 22:42	7.9	7.9	172.7
79	1/29/2013 22:42	8.46	8.46	153
80	1/29/2013 22:42	7.9	7.9	172.7
81	1/29/2013 22:43	6.76	6.76	193.7
82	1/29/2013 22:43	9.57	9.57	181.1
83	1/29/2013 22:43	10.13	10.13	167.1
84	1/29/2013 22:43	8.46	8.46	176.9
85	1/29/2013 22:43	6.76	6.76	165.7
86	1/29/2013 22:43	6.76	6.76	162.9
87	1/29/2013 22:43	7.31	7.31	179.7
88	1/29/2013 22:43	9.01	9.01	169.9
89	1/29/2013 22:43	9.01	9.01	172.7
90	1/29/2013 22:43	9.57	9.57	169.9
91	1/29/2013 22:43	7.9	7.9	167.1
92	1/29/2013 22:43	10.13	10.13	144.6
93	1/29/2013 22:43	9.57	9.57	167.1
94	1/29/2013 22:43	8.46	8.46	158.6
95	1/29/2013 22:43	8.46	8.46	179.7
96	1/29/2013 22:43	9.57	9.57	158.6
97	1/29/2013 22:43	6.76	6.76	196.5
98	1/29/2013 22:43	8.46	8.46	186.7
99	1/29/2013 22:43	10.13	10.13	153
100	1/29/2013 22:43	14.09	14.09	172.7
101	1/29/2013 22:44	9.01	9.01	214.8
102	1/29/2013 22:44	11.27	11.27	162.9
103	1/29/2013 22:44	15.21	15.21	133.4
104	1/29/2013 22:44	7.9	7.9	171.3
105	1/29/2013 22:44	10.69	10.69	186.7
106	1/29/2013 22:44	14.09	14.09	164.3
107	1/29/2013 22:44	15.21	15.21	157.2
108	1/29/2013 22:44	12.95	12.95	147.4
109	1/29/2013 22:44	11.83	11.83	167.1
110	1/29/2013 22:44	9.01	9.01	182.5
111	1/29/2013 22:44	7.9	7.9	179.7
112	1/29/2013 22:44	10.69	10.69	182.5
113	1/29/2013 22:44	10.69	10.69	182.5
114	1/29/2013 22:44	13.51	13.51	186.7
115	1/29/2013 22:44	10.69	10.69	165.7
116	1/29/2013 22:44	8.46	8.46	182.5
117	1/29/2013 22:44	11.27	11.27	167.1
118	1/29/2013 22:44	12.95	12.95	174.1
119	1/29/2013 22:44	13.51	13.51	161.5
120	1/29/2013 22:44	11.83	11.83	164.3
121	1/29/2013 22:45	11.27	11.27	157.2
122	1/29/2013 22:45	10.13	10.13	122.1
123	1/29/2013 22:45	8.46	8.46	116.5
124	1/29/2013 22:45	7.31	7.31	155.8
125	1/29/2013 22:45	5.64	5.64	141.8
126	1/29/2013 22:45	8.46	8.46	176.9
127	1/29/2013 22:45	11.27	11.27	165.7
128	1/29/2013 22:45	13.51	13.51	178.3
129	1/29/2013 22:45	12.95	12.95	186.7
130	1/29/2013 22:45	10.69	10.69	174.1
131	1/29/2013 22:45	11.83	11.83	192.3
132	1/29/2013 22:45	7.31	7.31	185.3
133	1/29/2013 22:45	9.01	9.01	172.7
134	1/29/2013 22:45	12.39	12.39	172.7
135	1/29/2013 22:45	12.39	12.39	181.1
136	1/29/2013 22:45	10.69	10.69	139
137	1/29/2013 22:45	9.01	9.01	106.7
138	1/29/2013 22:45	6.2	6.2	147.4
139	1/29/2013 22:45	6.2	6.2	91.3
140	1/29/2013 22:45	6.2	6.2	182.5
141	1/29/2013 22:46	7.31	7.31	198
142	1/29/2013 22:46	5.64	5.64	165.7
143	1/29/2013 22:46	7.9	7.9	192.3
144	1/29/2013 22:46	9.01	9.01	157.2
145	1/29/2013 22:46	9.01	9.01	172.7
146	1/29/2013 22:46	7.31	7.31	158.6
147	1/29/2013 22:46	6.2	6.2	179.7
148	1/29/2013 22:46	7.31	7.31	186.7
149	1/29/2013 22:46	9.57	9.57	164.3
150	1/29/2013 22:46	10.13	10.13	153
151	1/29/2013 22:46	10.69	10.69	164.3
152	1/29/2013 22:46	6.76	6.76	147.4
153	1/29/2013 22:46	7.31	7.31	162.9
154	1/29/2013 22:46	7.9	7.9	185.3
155	1/29/2013 22:46	7.9	7.9	172.7
156	1/29/2013 22:46	7.31	7.31	223.2
