"Plot Title: ff2_93"
"#","Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph","Wind Direction, ø"
1,01/29/13 10:27:06 PM,55.77,28.16,293.4
2,01/29/13 10:27:09 PM,7.31,7.31,179.7
3,01/29/13 10:27:12 PM,10.13,10.13,178.3
4,01/29/13 10:27:15 PM,11.27,11.27,186.7
5,01/29/13 10:27:18 PM,12.39,12.39,157.2
6,01/29/13 10:27:21 PM,12.39,12.39,193.7
7,01/29/13 10:27:24 PM,13.51,13.51,186.7
8,01/29/13 10:27:27 PM,16.89,16.89,185.3
9,01/29/13 10:27:30 PM,15.77,15.77,172.7
10,01/29/13 10:27:33 PM,13.51,13.51,185.3
11,01/29/13 10:27:36 PM,14.65,14.65,185.3
12,01/29/13 10:27:39 PM,15.77,15.77,172.7
13,01/29/13 10:27:42 PM,14.65,14.65,171.3
14,01/29/13 10:27:45 PM,14.09,14.09,185.3
15,01/29/13 10:27:48 PM,12.39,12.39,185.3
16,01/29/13 10:27:51 PM,14.09,14.09,192.3
17,01/29/13 10:27:54 PM,12.95,12.95,188.1
18,01/29/13 10:27:57 PM,13.51,13.51,176.9
19,01/29/13 10:28:00 PM,12.39,12.39,167.1
20,01/29/13 10:28:03 PM,11.27,11.27,172.7
21,01/29/13 10:28:06 PM,12.39,12.39,167.1
22,01/29/13 10:28:09 PM,11.83,11.83,172.7
23,01/29/13 10:28:12 PM,10.69,10.69,169.9
24,01/29/13 10:28:15 PM,10.69,10.69,172.7
25,01/29/13 10:28:18 PM,12.95,12.95,179.7
26,01/29/13 10:28:21 PM,13.51,13.51,181.1
27,01/29/13 10:28:24 PM,11.83,11.83,171.3
28,01/29/13 10:28:27 PM,11.27,11.27,174.1
29,01/29/13 10:28:30 PM,12.39,12.39,164.3
30,01/29/13 10:28:33 PM,11.83,11.83,165.7
31,01/29/13 10:28:36 PM,11.83,11.83,182.5
32,01/29/13 10:28:39 PM,11.27,11.27,153.0
33,01/29/13 10:28:42 PM,10.13,10.13,165.7
34,01/29/13 10:28:45 PM,12.39,12.39,157.2
35,01/29/13 10:28:48 PM,9.01,9.01,144.6
36,01/29/13 10:28:51 PM,8.46,8.46,169.9
37,01/29/13 10:28:54 PM,8.46,8.46,165.7
38,01/29/13 10:28:57 PM,10.13,10.13,172.7
39,01/29/13 10:29:00 PM,10.13,10.13,188.1
40,01/29/13 10:29:03 PM,11.83,11.83,176.9
41,01/29/13 10:29:06 PM,12.39,12.39,176.9
42,01/29/13 10:29:09 PM,10.13,10.13,181.1
43,01/29/13 10:29:12 PM,12.39,12.39,178.3
44,01/29/13 10:29:15 PM,12.39,12.39,181.1
45,01/29/13 10:29:18 PM,12.39,12.39,176.9
46,01/29/13 10:29:21 PM,12.39,12.39,178.3
47,01/29/13 10:29:24 PM,12.39,12.39,172.7
48,01/29/13 10:29:27 PM,11.83,11.83,176.9
49,01/29/13 10:29:30 PM,12.39,12.39,188.1
50,01/29/13 10:29:33 PM,11.27,11.27,193.7
51,01/29/13 10:29:36 PM,13.51,13.51,174.1
52,01/29/13 10:29:39 PM,14.09,14.09,176.9
53,01/29/13 10:29:42 PM,12.95,12.95,178.3
54,01/29/13 10:29:45 PM,12.39,12.39,206.4
55,01/29/13 10:29:48 PM,10.69,10.69,165.7
56,01/29/13 10:29:51 PM,12.95,12.95,186.7
57,01/29/13 10:29:54 PM,12.95,12.95,161.5
