"Plot Title: ff2-97"
"#","Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph","Wind Direction, ø"
1,01/29/13 10:58:37 PM,142.52,31.54,176.9
2,01/29/13 10:58:40 PM,10.69,10.69,185.3
3,01/29/13 10:58:43 PM,11.27,11.27,193.7
4,01/29/13 10:58:46 PM,12.39,12.39,162.9
5,01/29/13 10:58:49 PM,12.95,12.95,186.7
6,01/29/13 10:58:52 PM,12.95,12.95,179.7
7,01/29/13 10:58:55 PM,16.89,16.89,188.1
8,01/29/13 10:58:58 PM,15.21,15.21,189.5
9,01/29/13 10:59:01 PM,14.09,14.09,186.7
10,01/29/13 10:59:04 PM,12.95,12.95,171.3
11,01/29/13 10:59:07 PM,10.69,10.69,185.3
12,01/29/13 10:59:10 PM,14.65,14.65,185.3
13,01/29/13 10:59:13 PM,14.65,14.65,167.1
14,01/29/13 10:59:16 PM,11.83,11.83,186.7
15,01/29/13 10:59:19 PM,10.69,10.69,188.1
16,01/29/13 10:59:22 PM,10.69,10.69,172.7
17,01/29/13 10:59:25 PM,11.83,11.83,179.7
18,01/29/13 10:59:28 PM,10.69,10.69,171.3
19,01/29/13 10:59:31 PM,11.83,11.83,178.3
20,01/29/13 10:59:34 PM,10.13,10.13,150.2
21,01/29/13 10:59:37 PM,10.13,10.13,189.5
22,01/29/13 10:59:40 PM,11.27,11.27,172.7
23,01/29/13 10:59:43 PM,9.57,9.57,176.9
24,01/29/13 10:59:46 PM,10.13,10.13,176.9
25,01/29/13 10:59:49 PM,11.83,11.83,178.3
26,01/29/13 10:59:52 PM,8.46,8.46,188.1
27,01/29/13 10:59:55 PM,9.01,9.01,186.7
28,01/29/13 10:59:58 PM,10.13,10.13,172.7
29,01/29/13 11:00:01 PM,11.27,11.27,169.9
30,01/29/13 11:00:04 PM,9.01,9.01,172.7
31,01/29/13 11:00:07 PM,10.69,10.69,171.3
32,01/29/13 11:00:10 PM,11.83,11.83,185.3
33,01/29/13 11:00:13 PM,9.01,9.01,178.3
34,01/29/13 11:00:16 PM,9.01,9.01,196.5
35,01/29/13 11:00:19 PM,10.13,10.13,188.1
36,01/29/13 11:00:22 PM,11.83,11.83,157.2
37,01/29/13 11:00:25 PM,12.39,12.39,162.9
38,01/29/13 11:00:28 PM,16.33,16.33,153.0
39,01/29/13 11:00:31 PM,15.77,15.77,193.7
40,01/29/13 11:00:34 PM,16.33,16.33,196.5
41,01/29/13 11:00:37 PM,15.21,15.21,196.5
42,01/29/13 11:00:40 PM,16.33,16.33,203.6
43,01/29/13 11:00:43 PM,14.65,14.65,188.1
44,01/29/13 11:00:46 PM,12.95,12.95,189.5
45,01/29/13 11:00:49 PM,11.27,11.27,186.7
46,01/29/13 11:00:52 PM,9.01,9.01,167.1
47,01/29/13 11:00:55 PM,10.69,10.69,185.3
48,01/29/13 11:00:58 PM,11.27,11.27,169.9
49,01/29/13 11:01:01 PM,11.83,11.83,158.6
50,01/29/13 11:01:04 PM,11.27,11.27,165.7
51,01/29/13 11:01:07 PM,14.65,14.65,178.3
52,01/29/13 11:01:10 PM,15.21,15.21,189.5
53,01/29/13 11:01:13 PM,15.21,15.21,172.7
54,01/29/13 11:01:16 PM,12.95,12.95,176.9
55,01/29/13 11:01:19 PM,11.83,11.83,200.8
56,01/29/13 11:01:22 PM,12.39,12.39,192.3
57,01/29/13 11:01:25 PM,14.65,14.65,212.0
58,01/29/13 11:01:28 PM,14.09,14.09,195.1
59,01/29/13 11:01:31 PM,12.39,12.39,192.3
60,01/29/13 11:01:34 PM,14.65,14.65,198.0
61,01/29/13 11:01:37 PM,14.65,14.65,193.7
62,01/29/13 11:01:40 PM,14.65,14.65,185.3
63,01/29/13 11:01:43 PM,14.09,14.09,179.7
64,01/29/13 11:01:46 PM,13.51,13.51,172.7
65,01/29/13 11:01:49 PM,11.83,11.83,185.3
66,01/29/13 11:01:52 PM,14.09,14.09,185.3
67,01/29/13 11:01:55 PM,11.83,11.83,181.1
68,01/29/13 11:01:58 PM,10.69,10.69,186.7
69,01/29/13 11:02:01 PM,9.57,9.57,182.5
70,01/29/13 11:02:04 PM,9.57,9.57,165.7
