TIMESTAMP,u,v,w,t
1/30/2013 15:00,8.62,-5.15,0.08,14.83
1/30/2013 15:00,8.07,-4.76,-0.44,14.78
1/30/2013 15:00,7.16,-5.14,-0.57,14.87
1/30/2013 15:00,8.22,-4.56,-0.39,14.72
1/30/2013 15:00,7.13,-7.48,-3.15,14.54
1/30/2013 15:00,4.12,-7.6,0.06,15.02
1/30/2013 15:00,5.31,-7.87,0.93,14.81
1/30/2013 15:00,6.31,-8.24,0.19,14.64
1/30/2013 15:00,4.83,-6.8,1.8,14.65
1/30/2013 15:00,5.25,-3.72,3.32,15.13
1/30/2013 15:00,6.38,-4.43,0.2,14.9
1/30/2013 15:00,5.6,-4.62,0.51,14.6
1/30/2013 15:00,7.99,-6.99,-0.56,14.44
1/30/2013 15:00,8.67,-6.4,-0.71,14.52
1/30/2013 15:00,8.59,-6.22,-1.16,14.51
1/30/2013 15:00,8.84,-4.94,-0.58,14.86
1/30/2013 15:00,7.81,-6.27,-0.41,14.68
1/30/2013 15:00,8.51,-6.91,-1.02,14.59
1/30/2013 15:00,7.49,-5.68,0.38,14.72
1/30/2013 15:00,6.83,-6.25,-0.13,14.84
1/30/2013 15:00,8.11,-6.63,-0.32,14.64
1/30/2013 15:00,9.34,-5.22,0.56,14.57
1/30/2013 15:00,7.85,-5.68,0.35,14.56
1/30/2013 15:00,7.86,-6.5,-0.61,14.67
1/30/2013 15:00,6.87,-4.82,-0.55,14.57
1/30/2013 15:00,7.99,-4.45,0.16,14.85
1/30/2013 15:00,9.08,-5.8,0.81,15.04
1/30/2013 15:00,9.07,-6.48,0.71,14.95
1/30/2013 15:00,8.9,-7.89,0.52,14.8
1/30/2013 15:00,8.86,-10.37,-1.17,14.78
1/30/2013 15:00,7.5,-9.86,-0.58,14.74
1/30/2013 15:00,9.21,-8.47,0.07,14.98
1/30/2013 15:00,8.08,-9.23,-0.93,14.62
1/30/2013 15:00,10.01,-7.92,-0.3,14.69
1/30/2013 15:00,8.71,-8.34,0.02,14.45
1/30/2013 15:00,9.28,-9.55,-0.75,13.92
1/30/2013 15:00,8.37,-8.48,-0.39,13.94
1/30/2013 15:00,7.76,-7.65,-0.62,13.86
1/30/2013 15:00,7.92,-8.39,-0.25,14.18
1/30/2013 15:00,7.48,-7.22,0.28,14.38
1/30/2013 15:00,9.48,-9.27,-0.92,14.25
1/30/2013 15:00,9.66,-9.51,-0.94,14.19
1/30/2013 15:00,8.9,-8.01,-0.5,14.32
1/30/2013 15:00,8.51,-8.48,-0.61,14.56
1/30/2013 15:00,7.62,-9.75,-0.93,14.7
1/30/2013 15:00,6.26,-9.36,-0.29,14.67
1/30/2013 15:00,5.98,-8.18,-0.07,14.78
1/30/2013 15:00,6.69,-9.31,-0.13,14.68
1/30/2013 15:00,6.05,-8.54,0.02,14.67
1/30/2013 15:00,5.65,-8.45,0.22,14.87
1/30/2013 15:00,6.72,-8.32,0.2,14.68
1/30/2013 15:00,6.71,-8.1,0.16,14.25
1/30/2013 15:00,6.91,-8.01,-0.35,14.36
1/30/2013 15:00,6.7,-7.19,-0.24,14.35
1/30/2013 15:00,6.51,-8,-0.21,14.48
1/30/2013 15:00,7.73,-9.56,-0.77,14.39
1/30/2013 15:00,8.63,-8.24,-1.66,14.46
1/30/2013 15:00,8.89,-6.72,-1.66,14.28
1/30/2013 15:00,7.34,-6.19,0.28,14.3
1/30/2013 15:00,7.52,-6.39,-0.16,14.36
1/30/2013 15:01,7.36,-5.89,0.24,14.35
1/30/2013 15:01,6.95,-6.17,0.63,14.6
1/30/2013 15:01,7.28,-5.92,0.44,14.62
1/30/2013 15:01,10.47,-8.37,-1.7,14.49
1/30/2013 15:01,8.67,-8.91,-0.17,14.62
1/30/2013 15:01,7.82,-7.5,-0.08,14.83
1/30/2013 15:01,8.78,-8.3,0.08,14.44
1/30/2013 15:01,8.52,-8.56,-0.36,14.47
1/30/2013 15:01,8,-9.77,-0.66,14.68
1/30/2013 15:01,6.58,-8.26,-0.22,14.62
1/30/2013 15:01,6.34,-7.66,-0.06,14.67
1/30/2013 15:01,7.07,-9.65,-0.16,14.88
1/30/2013 15:01,7.56,-9.5,-0.42,14.67
1/30/2013 15:01,7.38,-8.2,-0.56,14.64
1/30/2013 15:01,6.78,-7.84,0.35,14.75
1/30/2013 15:01,4.28,-7.25,0.68,14.91
1/30/2013 15:01,3.99,-6.26,-0.2,15.05
1/30/2013 15:01,5.44,-5.62,-0.68,14.62
1/30/2013 15:01,5.36,-4.05,0.01,15.07
1/30/2013 15:01,6.27,-4.38,0.07,15.28
1/30/2013 15:01,5.72,-4.57,-0.74,15.3
1/30/2013 15:01,4.99,-5.4,0.63,15.27
1/30/2013 15:01,5.33,-5.11,-0.76,15.08
1/30/2013 15:01,4.07,-5.36,0.27,15.15
1/30/2013 15:01,5.12,-6.61,0.43,15.17
1/30/2013 15:01,6.9,-7.61,-0.61,15.08
1/30/2013 15:01,7.54,-7.56,0.19,15.19
1/30/2013 15:01,8.81,-6.03,-0.89,14.24
1/30/2013 15:01,6.2,-5.97,-0.53,14.94
1/30/2013 15:01,8.06,-5,-0.32,14.64
1/30/2013 15:01,8.38,-5.02,-0.62,14.75
1/30/2013 15:01,7.42,-4.45,0.18,14.77
1/30/2013 15:01,7.49,-4.68,0.19,14.35
1/30/2013 15:01,7.25,-4.52,0.47,14.31
1/30/2013 15:01,6.46,-5.15,0.33,14.26
1/30/2013 15:01,6.26,-5.01,0.24,14.49
1/30/2013 15:01,6.32,-6.41,0.07,14.68
1/30/2013 15:01,5.74,-7.07,0.26,14.98
1/30/2013 15:01,6.09,-5.59,-0.75,14.95
1/30/2013 15:01,4.88,-5.34,-0.03,15.02
1/30/2013 15:01,5.08,-4.61,-0.1,14.89
1/30/2013 15:01,5.09,-4.78,0.13,14.86
1/30/2013 15:01,3.96,-6.32,0.09,15.17
1/30/2013 15:01,3.27,-4.56,0.97,15.46
1/30/2013 15:01,5.2,-7.33,-0.81,14.8
1/30/2013 15:01,5,-6.22,0.11,15.18
1/30/2013 15:01,4.64,-5.69,0.19,15.22
1/30/2013 15:01,5.08,-7.18,0.35,14.78
1/30/2013 15:01,5.56,-6.6,-0.13,14.62
1/30/2013 15:01,5.07,-5.98,0.36,14.72
1/30/2013 15:01,4.29,-6.03,0.25,14.83
1/30/2013 15:01,3.77,-5.69,0.25,14.84
1/30/2013 15:01,3.67,-5.94,0.73,15.12
1/30/2013 15:01,3.93,-5.63,0.6,15.14
1/30/2013 15:01,4.93,-7.32,-0.6,14.3
1/30/2013 15:01,4.1,-6.99,-0.81,14.21
1/30/2013 15:01,5.68,-5.77,0.45,14.61
1/30/2013 15:01,7.76,-7.35,-0.65,14.94
1/30/2013 15:01,8.03,-6.98,-1.34,14.7
1/30/2013 15:01,7.77,-5.13,-1.45,14.76
1/30/2013 15:02,7.29,-5.36,-1.36,14.6
1/30/2013 15:02,7.11,-5.41,-0.73,14.87
1/30/2013 15:02,4.84,-2.53,-1.1,15.17
1/30/2013 15:02,4.63,-2.66,1.15,15.54
1/30/2013 15:02,4.8,-4.24,1.16,15.17
1/30/2013 15:02,2.36,-7.17,0.63,14.83
1/30/2013 15:02,4.84,-9.04,2.55,14.78
1/30/2013 15:02,5.69,-5.96,0.2,15.17
1/30/2013 15:02,4.27,-4.24,0.03,15.07
1/30/2013 15:02,5.44,-4.45,-0.38,15.42
1/30/2013 15:02,5.76,-4.77,0.21,15.34
1/30/2013 15:02,4.86,-6.94,0.25,14.63
1/30/2013 15:02,4.54,-8.15,-0.54,14.63
1/30/2013 15:02,5.14,-8.67,-0.06,14.62
1/30/2013 15:02,6.12,-8.14,0.51,14.6
1/30/2013 15:02,6.01,-7.13,-0.63,14.22
1/30/2013 15:02,5.84,-7.22,-0.44,14.62
1/30/2013 15:02,6.49,-7.31,-0.21,14.34
1/30/2013 15:02,7.03,-7.87,-0.45,14.52
1/30/2013 15:02,7.47,-9.25,0.05,14.8
1/30/2013 15:02,8.39,-8.56,-0.93,14.53
1/30/2013 15:02,6.68,-8.12,-1.09,14.33
1/30/2013 15:02,6.45,-6.2,-0.91,14.43
1/30/2013 15:02,5.82,-5.39,-0.1,14.88
1/30/2013 15:02,4.7,-7.48,-0.03,15.31
1/30/2013 15:02,5.23,-6.6,0.61,15.05
1/30/2013 15:02,5.33,-7.85,-0.19,14.94
1/30/2013 15:02,5.17,-6.76,0.19,15.05
1/30/2013 15:02,4.19,-5.66,-0.26,15.32
1/30/2013 15:02,3.94,-2.61,0.39,15.52
1/30/2013 15:02,3.59,-2.02,1.11,15.32
1/30/2013 15:02,3.95,-2.88,0.62,15.32
1/30/2013 15:02,5.07,-1.89,1.02,15.24
1/30/2013 15:02,4.06,-2.06,1.14,15.38
1/30/2013 15:02,5.16,-2.14,0.83,15.48
1/30/2013 15:02,5.15,-3.67,0.44,15.07
1/30/2013 15:02,5.41,-3.68,-0.06,15.3
1/30/2013 15:02,5.46,-3.42,-0.05,15.2
1/30/2013 15:02,6.64,-4.72,-0.18,15.19
1/30/2013 15:02,9.84,-5.69,0.12,14.81
1/30/2013 15:02,10,-6.24,-1.25,14.67
1/30/2013 15:02,9.72,-3.98,-1.24,14.86
1/30/2013 15:02,7.82,-2.27,-0.22,14.93
1/30/2013 15:02,9.12,-2.76,1.68,14.84
1/30/2013 15:02,10.75,-6.31,0.56,14.41
1/30/2013 15:02,10.02,-7.15,-0.43,14.49
1/30/2013 15:02,8.08,-6.39,-1.75,14.5
1/30/2013 15:02,6.37,-4.11,0.39,14.51
1/30/2013 15:02,7.26,-4.46,1.38,14.66
1/30/2013 15:02,7.49,-5.12,1.07,14.76
1/30/2013 15:02,8.34,-5.41,-0.05,14.66
1/30/2013 15:02,8.23,-5.36,-0.26,14.91
1/30/2013 15:02,8.48,-4.61,0.08,15
1/30/2013 15:02,6.33,-4.5,0.47,14.98
1/30/2013 15:02,6.59,-3.28,0.62,15.19
1/30/2013 15:02,7.69,-4.13,0.51,15.36
1/30/2013 15:02,9.12,-3.87,0.46,14.9
1/30/2013 15:02,7.14,-4.66,0.86,14.89
1/30/2013 15:02,6.06,-5.26,0.34,15.07
1/30/2013 15:02,7.43,-4.39,0.63,14.86
1/30/2013 15:03,9.33,-5.65,0.38,14.46
1/30/2013 15:03,9.8,-5.81,-0.36,14.69
1/30/2013 15:03,8.39,-5.61,-0.3,14.75
1/30/2013 15:03,10.12,-4.87,1.03,14.9
1/30/2013 15:03,9.82,-5.77,-0.3,14.68
