,TIMESTAMP,Ux_20m,Uy_20m,Uz_20m,Ts_20m,Ux_10m,Uy_10m,Uz_10m,Ts_10m,Ux_6m,Uy_6m,Uz_6m,Ts_6m
2480,2013-01-30 15:04:00,3.19,-9.69,-0.29,13.08,4.5,-7.47,-0.79,13.22,6.91,-5.56,-0.92,14.87
2481,2013-01-30 15:04:00,3.43,-9.23,-0.34,13.03,4.12,-7.39,-1.04,13.37,6.36,-6.62,-0.61,15.0
2482,2013-01-30 15:04:00,5.34,-8.6,-0.89,12.89,4.42,-6.99,-0.64,13.14,6.69,-6.98,-0.97,14.85
2483,2013-01-30 15:04:00,5.74,-9.06,-1.19,13.07,4.41,-6.83,-0.54,13.11,6.34,-7.38,-1.05,15.09
2484,2013-01-30 15:04:00,5.52,-8.94,-1.01,13.17,4.24,-7.54,-1.09,13.33,5.57,-8.5,-1.05,15.21
2485,2013-01-30 15:04:00,5.43,-8.23,0.85,13.13,4.37,-7.75,-1.3,13.3,5.14,-8.49,-1.1,15.08
2486,2013-01-30 15:04:00,6.83,-8.67,0.17,13.25,4.4,-7.73,-1.19,13.38,5.5,-8.06,-1.67,15.12
2487,2013-01-30 15:04:00,6.76,-8.69,0.27,13.27,3.73,-8.11,-1.18,13.45,5.39,-7.77,-1.63,15.17
2488,2013-01-30 15:04:00,6.79,-8.7,0.15,13.0,2.65,-7.93,-1.41,13.43,5.6,-7.43,-1.8,15.19
2489,2013-01-30 15:04:00,6.74,-8.94,-0.22,12.53,3.02,-7.83,-0.88,13.12,6.07,-7.48,-1.18,15.17
2490,2013-01-30 15:04:00,6.47,-9.23,-0.31,12.62,4.45,-7.56,-1.0,13.04,6.09,-7.42,-0.73,15.18
2491,2013-01-30 15:04:00,6.53,-9.29,-0.48,12.61,5.44,-7.44,-1.11,12.98,5.87,-7.66,-0.46,15.22
2492,2013-01-30 15:04:00,6.73,-9.94,-0.24,12.79,5.81,-8.12,-1.41,12.92,6.03,-7.61,-0.25,15.3
2493,2013-01-30 15:04:00,6.5,-9.84,-0.54,12.64,6.13,-7.8,-1.19,12.93,6.39,-7.94,-1.04,15.33
2494,2013-01-30 15:04:00,6.4,-9.82,-1.09,12.59,5.93,-7.34,-0.58,12.9,6.3,-7.7,-0.91,15.24
2495,2013-01-30 15:04:00,6.87,-10.16,-1.0,12.84,6.1,-6.88,-1.53,12.96,6.64,-7.37,-0.3,15.25
2496,2013-01-30 15:04:00,6.52,-10.77,-0.48,13.3,5.93,-7.93,-1.56,12.89,6.44,-7.0,0.29,15.25
2497,2013-01-30 15:04:00,6.48,-11.01,-0.23,13.18,5.2,-8.28,-0.29,13.0,6.3,-6.96,0.15,15.26
2498,2013-01-30 15:04:00,5.61,-11.53,-0.72,12.58,4.81,-8.12,0.3,13.14,5.73,-6.64,-0.36,15.2
2499,2013-01-30 15:04:00,6.15,-11.7,-1.05,12.6,5.56,-7.94,0.36,13.28,5.21,-6.79,0.18,15.37
2500,2013-01-30 15:04:00,5.96,-12.0,-1.04,12.45,5.46,-8.43,-0.84,12.93,5.36,-7.5,0.36,15.48
2501,2013-01-30 15:04:00,5.32,-11.99,-0.69,12.6,5.46,-8.49,-0.83,12.98,5.35,-6.91,-0.39,15.44
2502,2013-01-30 15:04:00,4.77,-11.29,-0.25,12.62,4.81,-9.09,-0.54,13.23,5.91,-7.05,-0.08,15.49
2503,2013-01-30 15:04:00,4.67,-11.46,0.09,12.93,4.14,-8.76,0.01,13.56,5.08,-7.71,0.17,15.47
2504,2013-01-30 15:04:00,4.62,-11.4,0.43,12.6,3.71,-8.63,0.2,13.59,5.34,-8.01,-0.87,15.45
2505,2013-01-30 15:04:00,4.69,-11.21,0.42,12.45,2.74,-8.43,0.35,13.5,5.15,-7.64,-0.46,15.59
2506,2013-01-30 15:04:00,4.87,-10.69,1.12,12.92,2.15,-8.73,0.21,13.12,5.35,-8.17,-0.65,15.63
2507,2013-01-30 15:04:00,4.69,-10.41,1.6,13.35,1.9,-9.53,0.1,13.34,5.44,-8.1,-0.4,15.64
2508,2013-01-30 15:04:00,4.73,-10.23,0.03,12.52,2.84,-9.34,0.64,13.55,5.49,-9.02,-0.07,15.67
2509,2013-01-30 15:04:00,5.02,-10.23,-0.38,12.55,2.9,-8.36,0.66,13.6,5.48,-8.42,0.3,15.64
2510,2013-01-30 15:04:00,5.2,-10.06,-0.68,12.54,2.85,-8.57,0.85,13.64,5.39,-8.17,0.84,15.6
2511,2013-01-30 15:04:00,5.21,-9.68,-1.02,12.5,4.66,-9.74,0.07,13.12,5.0,-8.18,0.55,15.78
2512,2013-01-30 15:04:00,5.4,-9.37,-1.26,12.48,4.97,-9.56,0.14,13.04,4.7,-8.0,0.22,15.84
2513,2013-01-30 15:04:00,5.58,-9.07,-0.92,12.57,4.32,-9.21,0.59,12.92,4.53,-8.11,-0.09,15.77
2514,2013-01-30 15:04:00,6.34,-8.9,-2.05,12.69,4.51,-9.07,-0.4,12.21,3.65,-8.67,-0.75,15.62
2515,2013-01-30 15:04:00,5.94,-10.51,-1.68,12.77,4.58,-9.3,-0.1,12.25,3.74,-8.13,-1.6,15.65
2516,2013-01-30 15:04:00,6.02,-10.95,-0.56,12.73,4.57,-9.25,0.16,12.31,5.3,-8.28,-0.78,15.27
2517,2013-01-30 15:04:00,6.84,-9.89,-0.9,12.75,4.42,-9.17,0.27,12.34,3.79,-8.96,-0.9,15.19
2518,2013-01-30 15:04:00,6.18,-10.81,-2.48,12.67,4.39,-9.08,-0.88,12.31,5.08,-9.42,-1.21,14.35
2519,2013-01-30 15:04:00,6.66,-11.18,-3.09,12.6,4.92,-9.18,-1.0,12.22,5.29,-10.06,-1.02,14.24
2520,2013-01-30 15:04:00,6.91,-10.88,-3.1,12.39,5.54,-9.64,-1.36,12.32,4.9,-10.05,-0.92,14.55
2521,2013-01-30 15:04:00,7.14,-10.89,-3.35,12.44,5.29,-9.99,-1.57,12.37,3.97,-9.86,-0.95,14.54
2522,2013-01-30 15:04:00,7.11,-10.66,-3.41,12.57,5.35,-10.34,-1.31,12.4,3.46,-9.85,-0.82,15.29
2523,2013-01-30 15:04:00,7.33,-10.55,-3.38,12.74,5.91,-9.35,-1.69,12.41,3.91,-9.84,-1.81,14.45
2524,2013-01-30 15:04:00,7.97,-10.25,-3.35,12.7,5.93,-9.33,-1.94,12.51,4.49,-10.31,-2.23,14.65
2525,2013-01-30 15:04:00,8.04,-10.1,-3.8,12.42,6.55,-9.02,-1.61,12.46,6.25,-12.0,-1.97,14.33
2526,2013-01-30 15:04:00,9.82,-9.39,-4.18,12.73,5.72,-8.54,-1.0,12.51,5.93,-11.6,-0.75,14.39
2527,2013-01-30 15:04:00,9.61,-8.74,-4.4,12.59,6.34,-9.03,-2.97,12.24,5.98,-11.06,-3.63,14.55
2528,2013-01-30 15:04:00,9.32,-8.41,-4.0,12.6,6.89,-9.45,-4.05,12.45,6.24,-9.43,-3.85,14.45
2529,2013-01-30 15:04:00,8.54,-8.51,-3.83,12.68,7.38,-8.92,-3.78,12.2,5.81,-9.16,-4.17,14.35
2530,2013-01-30 15:04:00,7.42,-7.93,-3.01,12.89,7.27,-8.65,-4.17,12.09,6.02,-9.46,-3.54,14.47
2531,2013-01-30 15:04:00,7.77,-7.01,-3.16,12.64,7.17,-8.68,-4.17,12.11,6.55,-9.43,-2.76,14.53
2532,2013-01-30 15:04:00,8.42,-6.62,-2.94,12.56,6.82,-8.6,-3.93,12.17,5.15,-9.91,-1.85,14.52
2533,2013-01-30 15:04:00,8.53,-6.54,-3.19,12.52,6.25,-8.52,-3.7,12.32,5.25,-10.22,-1.24,14.72
2534,2013-01-30 15:04:00,9.01,-6.4,-2.77,12.83,6.16,-8.35,-3.64,12.34,5.24,-9.39,-0.86,14.59
2535,2013-01-30 15:04:00,9.63,-6.59,-4.18,12.89,6.14,-8.48,-2.88,12.39,5.47,-8.95,-1.24,14.65
2536,2013-01-30 15:04:00,8.74,-6.16,-3.59,12.9,5.61,-8.67,-1.66,12.57,5.39,-8.54,-1.06,14.7
2537,2013-01-30 15:04:00,6.11,-6.89,-3.29,12.85,5.06,-8.22,-1.24,12.65,5.69,-8.53,-0.4,14.67
